4.0600 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
118.8168 	DATA 	Keypress: right
118.8292 	EXP 	grating: autoDraw = False
118.8292 	EXP 	fixation: autoDraw = False
118.8292 	EXP 	grating: autoDraw = False
118.8295 	EXP 	window1: recordFrameIntervals = False
119.8288 	EXP 	fixation: autoDraw = True
120.8291 	EXP 	fixation: autoDraw = False
120.8291 	EXP 	grating: autoDraw = True
120.8291 	EXP 	grating: tex = 'sin'
121.1290 	EXP 	grating: autoDraw = False
121.2149 	EXP 	window1: recordFrameIntervals = False
121.2164 	DATA 	Keypress: right
121.2290 	EXP 	fixation: autoDraw = False
121.2290 	EXP 	grating: autoDraw = False
121.2293 	EXP 	window1: recordFrameIntervals = False
122.2286 	EXP 	fixation: autoDraw = True
123.2288 	EXP 	fixation: autoDraw = False
123.2288 	EXP 	grating: autoDraw = True
123.2288 	EXP 	grating: tex = 'sin'
123.5289 	EXP 	grating: autoDraw = False
123.5647 	EXP 	window1: recordFrameIntervals = False
123.5662 	DATA 	Keypress: right
123.5788 	EXP 	fixation: autoDraw = False
123.5788 	EXP 	grating: autoDraw = False
123.5791 	EXP 	window1: recordFrameIntervals = False
124.5785 	EXP 	fixation: autoDraw = True
125.5787 	EXP 	fixation: autoDraw = False
125.5787 	EXP 	grating: autoDraw = True
125.5787 	EXP 	grating: tex = 'sin'
125.8647 	EXP 	window1: recordFrameIntervals = False
125.8662 	DATA 	Keypress: right
125.8806 	EXP 	grating: autoDraw = False
125.8806 	EXP 	fixation: autoDraw = False
125.8806 	EXP 	grating: autoDraw = False
125.8811 	EXP 	window1: recordFrameIntervals = False
126.8783 	EXP 	fixation: autoDraw = True
127.8785 	EXP 	fixation: autoDraw = False
127.8785 	EXP 	grating: autoDraw = True
127.8785 	EXP 	grating: tex = 'sin'
128.1785 	EXP 	grating: autoDraw = False
128.2644 	EXP 	window1: recordFrameIntervals = False
128.2660 	DATA 	Keypress: left
128.2810 	EXP 	fixation: autoDraw = False
128.2810 	EXP 	grating: autoDraw = False
128.2817 	EXP 	window1: recordFrameIntervals = False
129.2781 	EXP 	fixation: autoDraw = True
130.2784 	EXP 	fixation: autoDraw = False
130.2784 	EXP 	grating: autoDraw = True
130.2784 	EXP 	grating: tex = 'sin'
130.5783 	EXP 	grating: autoDraw = False
130.5976 	EXP 	window1: recordFrameIntervals = False
130.5992 	DATA 	Keypress: right
130.6117 	EXP 	fixation: autoDraw = False
130.6117 	EXP 	grating: autoDraw = False
130.6119 	EXP 	window1: recordFrameIntervals = False
131.6113 	EXP 	fixation: autoDraw = True
132.6118 	EXP 	fixation: autoDraw = False
132.6118 	EXP 	grating: autoDraw = True
